STATION_NAT_ABBR_TX;PARAM_SHORT_NAME_TX;MEAS_CAT_NR;SINCE_DT;TILL_DT;OWNER_ORG_NAME_TX
LUZ;shs000m0;12;01.06.2023 00:00;01.06.2023 00:00;MeteoSchweiz
OTL;shs000m0;12;01.01.2022 00:00;01.04.2023 00:00;MeteoSchweiz
GSB;shs000m0;12;01.06.2023 00:00;01.06.2023 00:00;MeteoSchweiz
ALT;shs000m0;12;01.01.2022 00:00;01.04.2023 00:00;MeteoSchweiz
SIO;shs000m0;12;01.01.2022 00:00;01.08.2022 00:00;MeteoSchweiz
BAS;shs000m0;12;01.06.2023 00:00;01.06.2023 00:00;MeteoSchweiz
GRH;fhs010m0;12;01.05.1989 00:00;01.12.2004 00:00;MeteoSchweiz
GRH;fhs010m0;12;01.11.2008 00:00;01.04.2012 00:00;MeteoSchweiz
JUN;fhs010m0;12;01.01.2007 00:00;01.09.2007 00:00;MeteoSchweiz
DAV;fhs010m0;12;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
PAY;fhs010m0;12;01.01.1981 00:00;01.12.2004 00:00;MeteoSchweiz
OTL;fhs010m0;12;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
GSB;fhs010m0;12;01.01.2022 00:00;01.09.2024 00:00;MeteoSchweiz
GVE;pva2hsm0;12;01.12.2004 00:00;01.12.2004 00:00;MeteoSchweiz
SMA;pva2hsm0;12;01.01.1959 00:00;01.04.2012 00:00;MeteoSchweiz
GRH;pva2hsm0;12;01.12.2004 00:00;01.12.2004 00:00;MeteoSchweiz
ELM;pva2hsm0;12;01.06.2011 00:00;01.04.2012 00:00;MeteoSchweiz
JUN;pva2hsm0;12;01.12.2004 00:00;01.12.2004 00:00;MeteoSchweiz
JUN;pva2hsm0;12;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
NEU;pva2hsm0;12;01.06.1977 00:00;01.06.1977 00:00;MeteoSchweiz
NEU;pva2hsm0;12;01.08.2005 00:00;01.08.2005 00:00;MeteoSchweiz
RAG;pva2hsm0;12;01.06.1977 00:00;01.06.1977 00:00;MeteoSchweiz
RAG;pva2hsm0;12;01.08.2005 00:00;01.08.2005 00:00;MeteoSchweiz
DAV;pva2hsm0;12;01.06.1977 00:00;01.06.1977 00:00;MeteoSchweiz
DAV;pva2hsm0;12;01.12.2004 00:00;01.12.2004 00:00;MeteoSchweiz
DAV;pva2hsm0;12;01.08.2005 00:00;01.08.2005 00:00;MeteoSchweiz
DAV;pva2hsm0;12;01.01.2022 00:00;01.02.2022 00:00;MeteoSchweiz
SAM;pva2hsm0;12;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
SAE;pva2hsm0;12;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
LUZ;pva2hsm0;12;01.06.1977 00:00;01.06.1977 00:00;MeteoSchweiz
SBE;pva2hsm0;12;01.09.2004 00:00;01.10.2004 00:00;MeteoSchweiz
CHM;pva2hsm0;12;01.01.2022 00:00;01.02.2022 00:00;MeteoSchweiz
LUG;pva2hsm0;12;01.01.2022 00:00;01.02.2022 00:00;MeteoSchweiz
OTL;pva2hsm0;12;01.09.2004 00:00;01.09.2004 00:00;MeteoSchweiz
ANT;pva2hsm0;12;01.06.1977 00:00;01.06.1977 00:00;MeteoSchweiz
GRC;pva2hsm0;12;01.06.1977 00:00;01.06.1977 00:00;MeteoSchweiz
GRC;pva2hsm0;12;01.08.2005 00:00;01.08.2005 00:00;MeteoSchweiz
GSB;pva2hsm0;12;01.01.1981 00:00;01.10.1981 00:00;MeteoSchweiz
ENG;pva2hsm0;12;01.12.2004 00:00;01.12.2004 00:00;MeteoSchweiz
ENG;pva2hsm0;12;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
BER;pva2hsm0;12;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
SIO;pva2hsm0;12;01.01.2022 00:00;01.02.2022 00:00;MeteoSchweiz
STG;pva2hsm0;12;01.06.1977 00:00;01.06.1977 00:00;MeteoSchweiz
STG;pva2hsm0;12;01.12.2004 00:00;01.12.2004 00:00;MeteoSchweiz
STG;pva2hsm0;12;01.08.2005 00:00;01.08.2005 00:00;MeteoSchweiz
BAS;pva2hsm0;12;01.09.2004 00:00;01.10.2004 00:00;MeteoSchweiz
SIA;pva2hsm0;12;01.06.1977 00:00;01.06.1977 00:00;MeteoSchweiz
SIA;pva2hsm0;12;01.01.2022 00:00;01.02.2022 00:00;MeteoSchweiz
GRH;ths200y0;1;01.01.1959 00:00;01.01.2004 00:00;MeteoSchweiz
GRH;ths200y0;1;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
DAV;ths200y0;1;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
SAM;ths200y0;1;01.01.1864 00:00;01.01.2012 00:00;MeteoSchweiz
PAY;ths200y0;12;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
CHM;ths200y0;1;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
LUG;ths200y0;1;01.01.2008 00:00;01.01.2012 00:00;MeteoSchweiz
GRC;ths200y0;1;01.01.1959 00:00;01.01.2004 00:00;MeteoSchweiz
GSB;ths200y0;1;01.01.2006 00:00;01.01.2006 00:00;MeteoSchweiz
ENG;ths200y0;1;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
MER;rhs150y0;12;01.01.2006 00:00;01.01.2006 00:00;MeteoSchweiz
SMA;rhs150y0;1;01.01.1864 00:00;01.01.2012 00:00;MeteoSchweiz
GRH;rhs150y0;1;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
CHD;rhs150y0;1;01.01.2006 00:00;01.01.2006 00:00;MeteoSchweiz
RAG;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
SAM;rhs150y0;1;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
SAM;rhs150y0;12;01.01.2023 00:00;01.01.2023 00:00;MeteoSchweiz
PAY;rhs150y0;12;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
SAE;rhs150y0;1;01.01.1883 00:00;01.01.2004 00:00;MeteoSchweiz
SAE;rhs150y0;1;01.01.2008 00:00;01.01.2011 00:00;MeteoSchweiz
LUZ;rhs150y0;12;01.01.1959 00:00;01.01.2004 00:00;MeteoSchweiz
GSB;rhs150y0;12;01.01.1959 00:00;01.01.2004 00:00;MeteoSchweiz
GSB;rhs150y0;12;01.01.2008 00:00;01.01.2010 00:00;MeteoSchweiz
ENG;rhs150y0;1;01.01.2006 00:00;01.01.2006 00:00;MeteoSchweiz
STG;rhs150y0;12;01.01.2008 00:00;01.01.2012 00:00;MeteoSchweiz
BAS;rhs150y0;1;01.01.1864 00:00;01.01.2004 00:00;MeteoSchweiz
MER;phsstay0;12;01.01.1959 00:00;01.01.2012 00:00;MeteoSchweiz
