parameter_shortname;parameter_description_de;parameter_description_fr;parameter_description_it;parameter_description_en;parameter_group_de;parameter_group_fr;parameter_group_it;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
rh9120mv;"Niederschlag; Verhältnis der homogenen Monatssumme zur Norm 9120";"précipitations; rapport de la somme mensuelle homogène à la norme 9120";"Precipitazioni; somma mensile omogenea rispetto alla norma 9120";"Precipitation; relation of the homogeneous monthly total to the norm 9120";Niederschlag;précipitations;precipitazioni;precipitation;M;0;Integer;%
rh9120yv;"Niederschlag; Verhältnis der homogenen Jahressumme zur Norm 9120";"précipitations; rapport de la somme annuelle homogène à la norme 9120";"Precipitazioni; somma annuale omogenea rispetto alla norma 9120";"Precipitation; relation of the homogeneous yearly total to the norm 9120";Niederschlag;précipitations;precipitazioni;precipitation;Y;0;Integer;%
rhs001m0;"Anzahl Tage im Monat mit Niederschlag >= 1 mm homogen; Anzahl Tage bei denen der tägliche Gesamtniederschlag >= 1mm war.";Monthly count of days when precipitation was >= 1 mm;Monthly count of days when precipitation was >= 1 mm;Monthly count of days when precipitation was >= 1mm;Niederschlag;précipitations;precipitazioni;precipitation;M;0;Integer;No
rhs001yx;"Folge von Niederschlagstagen homogen; Maximale Anzahl aufeinanderfolgender Tage pro Jahr mit Niederschlag >=1mm";Maximum number of consecutive days per year with RR>=1mm;Maximum number of consecutive days per year with RR>=1mm;Maximum number of consecutive days per year with RR>=1mm;Niederschlag;précipitations;precipitazioni;precipitation;Y;0;Integer;No
rhs150m0;"Niederschlag; homogene Monatssumme";"Précipitations; somme mensuelle homogène";"Precipitazioni; somma mensile omogenea";"Precipitation; homogeneous monthly total";Niederschlag;précipitations;precipitazioni;precipitation;M;1;Float;mm
rhs150y0;"Niederschlag; homogene Jahressumme";"Précipitations; somme annuelle homogène";"Precipitazioni; somma annuale omogenea";"Precipitation; homogeneous yearly total";Niederschlag;précipitations;precipitazioni;precipitation;Y;1;Float;mm
rhsdryyx;Längste Folge von Trockentagen (Tagesniederschlagssumme < 1 mm) des Jahres, homogen;La plus longue séquence de jours secs (somme journalière de précipitations < 1 mm) de l'année, homogène;La più lunga serie di giorni secchi (somma giornaliera di precipitazioni < 1 mm) dell'anno, omogeneo;Longest sequence of dry days (daily total precipitation < 1 mm) of the year, homogenous;Niederschlag;précipitations;precipitazioni;precipitation;Y;0;Integer;No
